organisationid,companyname,EntryType,ProductType,productid,productname,producername,awardname,winecolour,tastingcategory,tastingnotes,alcoholpercentage,countryname,organisationaddressid,contactid,categoryreference,categorysubtype,orderproductref,orderrefid,eventrefid,,Spirit type/ grape
10009246,Ferrari F.lli Lunelli SpA,On Line,Spirits,10176182,Segnana Solera Selezione,Distilleria Segnana,Silver,,Grape Brandy - Grappa - Solera Aged,,42,Italy,10009247,10176178,21b,Grape Brandy,12509,2619,22,,Grape Brandy
106935,Distilleria G. Bertagnolli Srl,On Line,Spirits,10178164,Gran Grappino Bianco ,Distilleria G. Bertagnolli Srl,Silver Outstanding,,Grape Brandy - Grappa - Clear,,40,Italy,207413,508354,21b,Grape Brandy,13845,2803,22,,Grape Brandy
106935,Distilleria G. Bertagnolli Srl,On Line,Spirits,10178165,Bertagnolli Grappa di Moscato Giallo Trentino,Distilleria G. Bertagnolli Srl,Silver,,Grape Brandy - Grappa - Moscato,,40,Italy,207413,508354,21b,Grape Brandy,13844,2803,22,,Grape Brandy
106935,Distilleria G. Bertagnolli Srl,On Line,Spirits,10178166,K24 Grappa Riserva,Distilleria G. Bertagnolli Srl,Silver,,Grape Brandy - Grappa - Wood Aged,,40,Italy,207413,508354,21b,Grape Brandy,13842,2803,22,,Grape Brandy
106922,Distilleria Canellese C Bocchino & C srl,On Line,Spirits,10197458,Cantina Privata Moscato Sauternes Cask Finish,Distilleria Canellese C Bocchino & C srl,Gold,,Grape Brandy - Grappa - Cask Finish,,43,Italy,207400,10000836,21b,Grape Brandy,17856,3548,22,,Grape Brandy
106922,Distilleria Canellese C Bocchino & C srl,On Line,Spirits,10197459,Grappa Riserva Carlo Bocchino,Distilleria Canellese C Bocchino & C srl,Gold,,Grape Brandy - Grappa - Cask Finish,,42,Italy,207400,10000836,21b,Grape Brandy,17855,3548,22,,Grape Brandy
10197664,Gruppo Montenegro,On Line,Spirits,10197669,Vecchia Romagna Riserva 35 years,Gruppo Montenegro,Silver Outstanding,,Grape Brandy - Italy - 10-35 YO,,40,Italy,10197665,10197666,21d,Grape Brandy,17096,3532,22,,Grape Brandy
10197664,Gruppo Montenegro,On Line,Spirits,10197670,Vecchia Romagna 10 years,Gruppo Montenegro,Silver,,Grape Brandy - Italy - 10-35 YO,,40,Italy,10197665,10197666,21d,Grape Brandy,17095,3532,22,,Grape Brandy
10197664,Gruppo Montenegro,On Line,Spirits,10197671,Vecchia Romagna Etichetta Nera,Gruppo Montenegro,Bronze,,Grape Brandy - Italy - No Age Stated,,38,Italy,10197665,10197666,21d,Grape Brandy,17094,3532,22,,Grape Brandy
113836,Nannoni Grappe SRL,On Line,Spirits,10200606,Acquavite Bacco Per Venere,Nannoni Grappe SRL,Silver,,Grape Brandy - Grappa - Wood Aged,,42,Italy,215613,517553,21b,Grape Brandy,18521,3692,22,,Grape Brandy
113836,Nannoni Grappe SRL,On Line,Spirits,10200607,Grappa Cuore di Traminer Riserva,Nannoni Grappe SRL,Silver,,Grape Brandy - Grappa - Traminer - Wood Aged,,42,Italy,215613,517553,21b,Grape Brandy,18518,3692,22,,Grape Brandy
106936,Distilleria Gualco S.n.c.,On Line,Spirits,10200747,Gualco Grappa di Moscato,Distilleria Gualco S.n.c.,Silver Outstanding,,Grape Brandy - Grappa - Moscato,,42,Italy,10048533,10048534,21b,Grape Brandy,18712,3752,22,,Grape Brandy
10145325,Mazzeti d'Altavilla SRL,On Line,Spirits,10204189,7.0 Grappa di Ruche' 100% Cru,Mazzeti d'Altavilla SRL,Silver,,Grape Brandy - Grappa - Ruché - Wood Aged,,43,Italy,10145326,10145327,21b,Grape Brandy,19256,3872,22,,Grape Brandy
106916,Distilleria Alfons Walcher SAS,On Line,Spirits,10205712,Grappagnac ,Distilleria Alfons Walcher SAS,Silver,,Grape Brandy - Grappa - Wood Aged,,40,Italy,207394,10090530,21b,Grape Brandy,19474,3918,22,,Grape Brandy
106940,Distilleria Marzadro Spa,On Line,Spirits,10205829,Grappa Anfora,Distilleria Marzadro Spa,Silver,,Grape Brandy - Grappa - Amphora Aged,,43,Italy,207419,508361,21b,Grape Brandy,19600,3949,22,,Grape Brandy
106940,Distilleria Marzadro Spa,On Line,Spirits,10205830,Grappa   Giare Chardonnay,Distilleria Marzadro Spa,Silver,,Grape Brandy - Grappa - Chardonnay - Wood Aged,,45,Italy,207419,508361,21b,Grape Brandy,19599,3949,22,,Grape Brandy
106940,Distilleria Marzadro Spa,On Line,Spirits,10205831,Grappa Le Giare Gewürztraminer,Distilleria Marzadro Spa,Gold Outstanding,,Grape Brandy - Grappa - Traminer - Wood Aged,,41,Italy,207419,508361,21b,Grape Brandy,19598,3949,22,,Grape Brandy
106940,Distilleria Marzadro Spa,On Line,Spirits,10205832,Grappa Giare Amarone,Distilleria Marzadro Spa,Gold,,Grape Brandy - Grappa - Amarone - Wood Aged,,41,Italy,207419,508361,21b,Grape Brandy,19597,3949,22,,Grape Brandy
106940,Distilleria Marzadro Spa,On Line,Spirits,10205833,Le Diciotto Lune,Distilleria Marzadro Spa,Silver,,Grape Brandy - Grappa - Wood Aged,,41,Italy,207419,508361,21b,Grape Brandy,19164,3949,22,,Grape Brandy
10205946,Ardenghi S.r.l.,On Line,Spirits,10205951,Grappa Barricata - Prosecco Riserva,Ardenghi S.R.L.,Silver Outstanding,,Grape Brandy - Grappa - Prosecco - Wood Aged,,42,Italy,10205947,10205948,21b,Grape Brandy,18645,3894,22,,Grape Brandy
112241,Lidl Stiftung & Co Kg,On Line,Spirits,10206404,Lidl Grappa Riserva 18 mesi,,Silver Outstanding,,Grape Brandy - Grappa - Wood Aged,,40,Italy,10185112,515547,21b,Grape Brandy,13855,3892,22,,Grape Brandy
112241,Lidl Stiftung & Co Kg,On Line,Spirits,10206405,Grappa Amarone Invecchiata,,Silver Outstanding,,Grape Brandy - Grappa - Amarone - Wood Aged,,40,Italy,10185112,515547,21b,Grape Brandy,13851,3892,22,,Grape Brandy
116113,Sadoya et Cie,On Line,Spirits,10167840,Sadoya Fine Extra,Sadoya et Cie,Silver,,Grape Brandy - Marc - Japan,,39.7,Japan,218045,10077602,21c,Grape Brandy,11446,2408,22,,Grape Brandy
10049373,Nishiyama Shuzojo Co. Ltd,On Line,Spirits,10169020,Kotsuzumi Grappa Monte Oeste,Nishiyama Shuzojo Co. Ltd,Bronze,,Grape Brandy - Marc - Japan,,40,Japan,10049374,10087800,21c,Grape Brandy,11962,2452,22,,Grape Brandy
