Cape Diamond Wines (PTY) Ltd,Vintales Lazy Days Chenin Blanc 2017,Cape Diamond Wines (PTY) Ltd,Bronze,White,Chenin Blanc - Western Cape - 2017,South Africa
Asara Wine Estate & Hotel,Vineyard Collection Chardonnay 2016,Asara Wine Estate & Hotel,Bronze,White,Chardonnay - WO Stellenbosch - 2016 -2015,South Africa
Warshay Investment (Pty) Ltd ta KWV,KWV Classic Collection Cape Tawny NV,Warshay Investment (Pty) Ltd ta KWV,Gold,Red,Fortified Liqueur Wine - WO Western Cape NV,South Africa
ABS Wine Agencies,Bon Courage Jacques Bruére Blanc de Blancs 2010,Bon Courage Wine Estate,Gold,White,Bottle Fermented Sparkling - Blanc de Blanc - Chardonnay - WO Robertson - 2012 - 2010,South Africa
ABS Wine Agencies,Jordan Wine Estate Barrel Fermented Chardonnay 2016,Jordan Wine Estate,Gold,White,Chardonnay - WO Stellenbosch - 2016 -2015,South Africa
ABS Wine Agencies,Jordan Wine Estate Nine Yards Chardonnay 2015,Jordan Wine Estate,Gold,White,Chardonnay - WO Stellenbosch - 2016 -2015,South Africa
ABS Wine Agencies,Tokara Directors Reserve Red 2013,Tokara Winery,Gold,Red,Blended Bordeaux Style Red  - Stellenbosch 2016-2013,South Africa
ABS Wine Agencies,Tokara Reserve Collection Cabernet Sauvignon 2013,Tokara Winery,Gold,Red,Cabernet Sauvignon - W O Stellenbosch - 2013-2012,South Africa
Beau Constantia Wines,Beau Constantia Aidan 2014,Beau Constantia Wines,Gold,Red,Blended Red - Shiraz Dominated - W O Constantia - 2014,South Africa
Bouchard Finlayson,Missionvale Chardonnay 2015,Bouchard Finlayson,Gold,White,Chardonnay - WO Walker Bay & Wards - 2015,South Africa
Constantia Glen Winery (Pty) Ltd,Constantia Glen Estate Sauvignon Blanc 2017,Constantia Glen Winery (Pty) Ltd,Gold,White,Sauvignon Blanc - WO Constantia - 2017-2106,South Africa
DGB ( Pty) Ltd,Bellingham The Bernard Series Hand-Picked Viognier 2017,DGB ( Pty) Ltd,Gold,White,Viognier - Coastal Region - 2017,South Africa
DGB ( Pty) Ltd,Boschendal Grande Cuvee Brut 2013,DGB ( Pty) Ltd,Gold,White,Bottle Fermented Sparkling Wine - W O Stellenbosch -  NV-2013,South Africa
Diemersfontein Wines,Carpe Diem Pinotage 2015,Diemersfontein Wines,Gold,Red,Pinotage - WO Wellington - 2017-2014,South Africa
