Meerlust Estate,Meerlust Rubicon 2014,Meerlust Estate,Silver,Red,Blended Red - Cabernet Sauvignon Dominated - W O Stellenbosch - 2015-2009,South Africa
Middelvlei Estate,Middelvlei Rooster Merlot 2015,Middelvlei Estate,Silver,Red,Merlot/Merlot dominated blends - Wards of WOStellenbosch - 2015-2014,South Africa
Muratie Wine Estate,Martin Melck Cabernet Sauvignon Family Reserve 2013,Muratie Wine Estate,Silver,Red,Cabernet Sauvignon - W O Stellenbosch - 2016-2014,South Africa
Muratie Wine Estate,Ansela van de Caab 2014,Muratie Wine Estate,Silver,Red,Blended Red - Cabernet Sauvignon Dominated - W O Stellenbosch - 2015-2009,South Africa
New Cape Wines,Arendskloof Chardonnay 2015,New Cape Wines,Silver,White,Chardonnay - WO Western Cape - 2016-2015,South Africa
New Cape Wines,Arendskloof Cabernet Sauvignon 2014,New Cape Wines,Silver,Red,Cabernet Sauvignon - WO Western Cape - 2016-2013,South Africa
New Cape Wines,Arendskloof Shiraz Tannat 2014,New Cape Wines,Silver,Red,Shiraz/Tannat - WO Breede River Valley - 2014,South Africa
Nitida Cellars,Coronata Integration 2016,Nitida Cellars,Silver,White,Sauvignon Blanc/Semillon - WO Durbanville - 2016,South Africa
Oak Valley Wines,Oak Valley Pinot Noir 2014,Oak Valley Wines,Silver,Red,Pinot Noir - Elgin - 2014,South Africa
Oldenburg Vineyards,Cabernet Sauvignon 2013,Oldenburg Vineyards,Silver,Red,Cabernet Sauvignon - W O Stellenbosch - 2013-2012,South Africa
Oldenburg Vineyards,Rhodium 2013,Oldenburg Vineyards,Silver,Red,Blended Red - Merlot Dominated - WO Stellenbosch - 2013,South Africa
Oldenburg Vineyards,Oldenburg Vineyards Syrah 2014,Oldenburg Vineyards,Silver,Red,Shiraz - W O Stellenbosch - 2016-2012,South Africa
Oldenburg Vineyards,Chardonnay 2016,Oldenburg Vineyards,Silver,White,Chardonnay - WO Stellenbosch - 2016 -2015,South Africa
Oldenburg Vineyards,Viognier 2015,Oldenburg Vineyards,Silver,White,Viognier - WO Stellenbosch - 2015,South Africa
Oldenburg Vineyards,Chenin Blanc 2016,Oldenburg Vineyards,Silver,White,Chenin Blanc - WO Stellenbosch - 2017-2015,South Africa
Origin Wine Ltd,Craft & Origin Organic White 2016,Origin Wine Ltd,Silver,White,Craft Organic White - Western Cape - 2016,South Africa
Origin Wine Ltd,Fairhills Chenin/Chardonnay 2017,Origin Wine Ltd,Silver,White,Blended White - Chenin Blanc Dominated - Western Cape - 2017-2016,South Africa
Origin Wine Ltd,Grand Vin Shiraz/Mourvedre 2016,Origin Wine Ltd,Silver,Red,Blended Red - Shiraz dominated - WO Stellenbosch - 2016-2015,South Africa
Origin Wine Ltd,Grand Vin Shiraz/Viognier 2016,Origin Wine Ltd,Silver,Red,Blended Red - Shiraz dominated - WO Stellenbosch - 2016-2015,South Africa
Origin Wine Ltd,Stormhoek Moscato 2017,Origin Wine Ltd,Silver,White,Sweet - Muscat - WO Western Cape,South Africa
Origin Wine Ltd,Morrisons Chalkboard Pinotage 2017,Origin Wine Ltd,Silver,Red,Pinotage - WO Western Cape - 2017 - 2015,South Africa
Origin Wine Ltd,Morrisons Chalkboard Chenin Blanc 2017,Origin Wine Ltd,Silver,White,Chenin Blanc - WO Western Cape - 2017-2015,South Africa
Origin Wine Ltd,Morrisons Sparkling Moscato Rose 2017,Origin Wine Ltd,Silver,Rosé,Sparkling Moscato - Rosé - 2017,South Africa
Origin Wine Ltd,Stormhoek Sauvignon Blanc 2017,Origin Wine Ltd,Silver,White,Sauvignon Blanc - WO Western Cape - 2017-2016,South Africa
Origin Wine Ltd,Grand Vin Chardonnay/Viognier 2016,Origin Wine Ltd,Silver,White,Chardonnay/Viognier Blend - Stellenbosch - 2016,South Africa
Origin Wine Ltd,Stormhoek Pinot Grigio 2017,Origin Wine Ltd,Silver,White,Pinot Grigio - Western Cape - 2017,South Africa
Ormonde Vineyards,Ormonde Noble Late Harvest 2015,Ormonde Vineyards,Silver,White,Noble Late Harvest - Chenin Blanc - W. O. Darling - 2015,South Africa
Ormonde Vineyards,Ormonde Cabernet Sauvignon 2014,Ormonde Vineyards,Silver,Red,Cabernet Sauvignon/Cabernet Blends - W O Darling - 2014-2013,South Africa
Ormonde Vineyards,Ormonde Theodore Eksteen 2013,Ormonde Vineyards,Silver,Red,Shiraz - WO Darling - 2014-2013,South Africa
Overhex Wines International,Survivor Chenin Blanc 2016,Overhex Wines International,Silver,White,Chenin Blanc - W O Swartland - 2016,South Africa
Overhex Wines International,Survivor Pinotage 2015,Overhex Wines International,Silver,Red,Pinotage - WO Swartland - Wards - 2015 - 2014,South Africa
Overhex Wines International,Survivor Sauvignon Blanc 2016,Overhex Wines International,Silver,White,Sauvignon Blanc - W O Swartland - 2016,South Africa
Perdeberg Wines (Pty) Ltd,Vineyard Collection Chenin Blanc 2016,Perdeberg Wines (Pty) Ltd,Silver,White,Chenin Blanc - WO Coastal Regions - 2017-2015,South Africa
Perdeberg Wines (Pty) Ltd,Vineyard Collection Pinotage 2015,Perdeberg Wines (Pty) Ltd,Silver,Red,Pinotage - WO Coastal Region - 2017 - 2014,South Africa
Perdeberg Wines (Pty) Ltd,SAAM Mountain Chenin  Blanc 2017,Perdeberg Wines (Pty) Ltd,Silver,White,Chenin Blanc - WO Coastal Regions - 2017-2015,South Africa
Perdeberg Wines (Pty) Ltd,The Dry Land Collection Resolve Pinotage 2014,Perdeberg Wines (Pty) Ltd,Silver,Red,Pinotage - WO Paarl - 2015-2014,South Africa
Perdeberg Wines (Pty) Ltd,The Dry Land Collection Courageous Barrel Fermented Chenin Blanc 2016,Perdeberg Wines (Pty) Ltd,Silver,White,Chenin Blanc - W O Paarl - 2016-2014,South Africa
Perdeberg Wines (Pty) Ltd,The Dry Land Collection Joseph's Legacy 2014,Perdeberg Wines (Pty) Ltd,Silver,Red,Blended Red - Shiraz Dominated - WO Coastal Region - 2015-2014,South Africa
Leopard's Leap Family Vineyards,Leopards Leap Special Edition Red Blend 2015,Leopards Leap Wines,Silver,Red,Merlot/Merlot Dominated - WO Western Cape - 2016-2014,South Africa
Leopard's Leap Family Vineyards,Leopards Leap Culinaria Pinot Noir 2015,Leopards Leap Wines,Silver,Red,Pinot Noir - WO Western Cape - 2015,South Africa
Leopard's Leap Family Vineyards,Leopard's Leap Family Collection Cabernet 2015,Leopards Leap Wines,Silver,Red,Cabernet Sauvignon - WO Western Cape - 2016-2013,South Africa
Leopard's Leap Family Vineyards,Leopard's Leap Culinaria Chenin Blanc 2016,Leopards Leap Wines,Silver,White,Chenin Blanc - WO Western Cape - 2017-2015,South Africa
Raisin Social Limited,Beyerskloof Pinotage Reserve Selection 2016,Beyerskloof,Silver,Red,Pinotage - WO Bottelary - 2016,South Africa
Rhebokskloof Wine Estate ,Vineyard Selection THE MGS 2015,Rhebokskloof Wine Estate ,Silver,Red,Blended Red - Mourvèdre dominated - WO Paarl - 2015,South Africa
Rhebokskloof Wine Estate ,Black Marble Hill Syrah 2013,Rhebokskloof Wine Estate ,Silver,Red,Shiraz/Shiraz dominated blends - WO Paarl & Wards - 2015-2010,South Africa
Rickety Bridge Vineyard,Rickety Bridge Chenin Blanc 2016,Rickety Bridge Vineyard,Silver,White,Chenin Blanc - WO Western Cape - 2017-2015,South Africa
Rickety Bridge Vineyard,The Foundation Stone White 2016,Rickety Bridge Vineyard,Silver,White,Blended White - Chenin Blanc Dominated - W O Coastal Region - 2016,South Africa
Rickety Bridge Vineyard,Rickety Bridge Shiraz 2014,Rickety Bridge Vineyard,Silver,Red,Shiraz - W O Western Cape - 2017-2014,South Africa
Rickety Bridge Vineyard,Paulina's Reserve Cabernet Sauvignon 2014,Rickety Bridge Vineyard,Silver,Red,Cabernet Sauvignon/Pinot Blend - WO Franschhoek - 2014,South Africa
Rooiberg Winery,Rooiberg Winery Pinotage Reserve 2016,Rooiberg Winery,Silver,Red,Pinotage - WO Western Cape - 2017-2015,South Africa
Saxenburg Wine Estate,Saxenburg Private Collection Shiraz 2015,Saxenburg Wine Estate,Silver,Red,Shiraz/Shiraz dominated blends - WO Wards of Stellenbosch - 2015,South Africa
Simonsig Wine Estate.,Simonsig Sunbird Sauvignon Blanc ,Simonsig Wine Estate.,Silver,White,Sauvignon Blanc - W O Western Cape - 2017,South Africa
Simonsig Wine Estate.,Simonsig Chenin Blanc 2017,Simonsig Wine Estate.,Silver,White,Chenin Blanc - WO Stellenbosch - 2017-2015,South Africa
Simonsig Wine Estate.,Simonsig Syrah Merindol 2012,Simonsig Wine Estate.,Silver,Red,Shiraz - W O Stellenbosch - 2016-2012,South Africa
Spier Wines,Spier Creative Block 8 2014,Spier Wines,Silver,Red,Blended Red - Pinotage Dominated - WO Stellenbosch - 2015-2014,South Africa
Spier Wines,Spier Creative Block 2 2015,Spier Wines,Silver,White,Sauvignon Blanc - WO Stellenbosch - 2017-2016,South Africa
Spier Wines,Spier Creative Block 5 2014,Spier Wines,Silver,Red,Blended Red - Cabernet Sauvignon Dominated - W O Stellenbosch - 2015-2009,South Africa
Spier Wines,Spier 21 Gables Cabernet Sauvignon 2014,Spier Wines,Silver,Red,Cabernet Sauvignon - W O Stellenbosch - 2016-2014,South Africa
Stellenbosch Hills,Stellenbosch Hills Shiraz 2015,Stellenbosch Hills,Silver,Red,Shiraz - W O Stellenbosch - 2016-2012,South Africa
Stellenbosch Vineyards,Stellenbosch Vineyards Credo Chardonnay 2016,Stellenbosch Vineyards,Silver,White,Chardonnay - WO Stellenbosch - 2016 -2015,South Africa
Stellenbosch Vineyards,Stellenbosch Vineyards Credo Shiraz/Merlot/Viognier 2015,Stellenbosch Vineyards,Silver,Red,Blended Red - Shiraz Dominated - WO Stellenbosch - 2016-2014,South Africa
Stellenbosch Vineyards,Stellenbosch Vineyards Cabernet Sauvignon 2015,Stellenbosch Vineyards,Silver,Red,Cabernet Sauvignon - W O Stellenbosch - 2016-2014,South Africa
Stellenbosch Vineyards,Arniston Bay Sauvignon Blanc/Semillion 2017,Stellenbosch Vineyards,Silver,White,Sauvignon/Semillon - WO Western Cape - 2017 - 2014,South Africa
StellenRust Wines,Stellenrust Barrel fermented Chardonnay 2016,StellenRust Wines,Silver,White,Chardonnay - WO Stellenbosch - 2016 -2015,South Africa
StellenRust Wines,Stellenrust Cabernet Sauvignon 2016,StellenRust Wines,Silver,Red,Cabernet Sauvignon - W O Stellenbosch - 2016-2014,South Africa
StellenRust Wines,Stellenrust Simplicity 2016,StellenRust Wines,Silver,Red,Blended Red - Shiraz Dominated - WO Stellenbosch - 2016-2014,South Africa
StellenRust Wines,Stellenrust Shiraz 2016,StellenRust Wines,Silver,Red,Shiraz - W O Stellenbosch - 2016-2012,South Africa
StellenRust Wines,Stellenrust Sauvignon Blanc 2017,StellenRust Wines,Silver,White,Sauvignon Blanc - WO Stellenbosch - 2017-2016,South Africa
StellenRust Wines,Stellenrust Old Bushvine Chenin blanc 2015,StellenRust Wines,Silver,White,Chenin Blanc - WO Stellenbosch - 2017-2015,South Africa
Strandveld Wines (Pty) Ltd,Strandveld The Navigator 2013,Strandveld Wines (Pty) Ltd,Silver,Red,Syrah dominated blends - WO Cape South Coast & Regions - 2014-2013,South Africa
Strandveld Wines (Pty) Ltd,First Sighting Shiraz 2014,Strandveld Wines (Pty) Ltd,Silver,Red,Syrah dominated blends - WO Cape South Coast & Regions - 2014-2013,South Africa
Strandveld Wines (Pty) Ltd,First Sighting Sauvignon Blanc 2016,Strandveld Wines (Pty) Ltd,Silver,White,Sauvignon Blanc/Sauvignon Blanc Blends - WO Cape Agulhas & District - 2016 ,South Africa
The Grape Grinder,The Blue Moose Cabernet Sauvignon Shiraz 2016,The Grape Grinder,Silver,Red,Cabernet Sauvignon/Syrah Blend - Swartland - 2016,South Africa
The Grape Grinder,The Grinder Chenin Blanc 2017,The Grape Grinder,Silver,White,Chenin Blanc - Swartland - 2017,South Africa
The Grape Grinder,The Grinder Pinotage 2015,The Grape Grinder,Silver,Red,Pinotage - WO Coastal Region - 2017 - 2014,South Africa
Uva Mira Mountain Vineyards,The Mira Shiraz 2015,Uva Mira Mountain Vineyards,Silver,Red,Shiraz - W O Stellenbosch - 2016-2012,South Africa
Uva Mira Mountain Vineyards,D.W. Syrah 2014,Uva Mira Mountain Vineyards,Silver,Red,Shiraz - W O Stellenbosch - 2016-2012,South Africa
Uva Mira Mountain Vineyards,O.T.V. 2014,Uva Mira Mountain Vineyards,Silver,Red,Cabernet Franc/Cabernet Sauvignon Blend - WO Stellenbosch - 2014,South Africa
Uva Mira Mountain Vineyards,Sing-a-Wing Sauvignon Blanc 2016,Uva Mira Mountain Vineyards,Silver,White,Sauvignon Blanc - WO Stellenbosch - 2017-2016,South Africa
Uva Mira Mountain Vineyards,The Mira Merlot 2014,Uva Mira Mountain Vineyards,Silver,Red,Merlot - WO Stellenbosch - 2015-2014,South Africa
Uva Mira Mountain Vineyards,The Mira Chardonnay 2015,Uva Mira Mountain Vineyards,Silver,White,Chardonnay - WO Stellenbosch - 2016 -2015,South Africa
Uva Mira Mountain Vineyards,The Single Tree Chardonnay 2015,Uva Mira Mountain Vineyards,Silver,White,Chardonnay - WO Stellenbosch - 2016 -2015,South Africa
Van Loveren Family Vineyards (Pty) Ltd,Van Loveren African Java Pinotage 2017,Van Loveren Family Vineyards (Pty) Ltd,Silver,Red,Pinotage - WO Robertson - 2017-2016,South Africa
Van Loveren Family Vineyards (Pty) Ltd,Christina MCC Brut NV,Van Loveren Family Vineyards (Pty) Ltd,Silver,White,Bottle Fermented Sparkling - Blanc de Blanc - Chardonnay - Brut - WO Robertson - NV,South Africa
Van Loveren Family Vineyards (Pty) Ltd,Christina Shiraz 2015,Van Loveren Family Vineyards (Pty) Ltd,Silver,Red,Shiraz - Robertson - 2015,South Africa
Van Loveren Family Vineyards (Pty) Ltd,Christina Cabernet Sauvignon 2015,Van Loveren Family Vineyards (Pty) Ltd,Silver,Red,Cabernet Sauvignon - WO Robertson - 2015,South Africa
Van Loveren Family Vineyards (Pty) Ltd,Van Loveren Neil's Pick Colombar 2017,Van Loveren Family Vineyards (Pty) Ltd,Silver,White,Colombard - WO Robertson - 2017,South Africa
Villiera Wine,Villiera Tradition Brut NV,Villiera Wine,Silver,White,Bottle Fermented Sparkling Wine - W O Stellenbosch -  NV-2013,South Africa
Villiera Wine,Villiera Sauvignon Blanc 2017,Villiera Wine,Silver,White,Sauvignon Blanc - WO Coastal Region - 2017,South Africa
Villiera Wine,Villiera Chenin Blanc 2017,Villiera Wine,Silver,White,Chenin Blanc - WO Coastal Region- 2017-2015,South Africa
Vrede en Lust,Vrede en Lust Casey's Ridge Syrah 2015,Vrede en Lust,Silver,Red,Shiraz - WO Overberg & Wards - 2015,South Africa
Waverley Hills Organic Wines,Waverley Hills Viognier Semillon Chardonnay 2015,Waverley Hills Organic Wines,Silver,White,Organic Blended White - W O Tulbagh - 2015,South Africa
Wellington Wines,Wellington La Cave Pinotage 2015,Wellington Wines,Silver,Red,Pinotage - WO Wellington - 2017-2014,South Africa
Wildekrans Wine Estate,Wildekrans Chenin Blanc Methode Cap Classique 2013,Wildekrans Wine Estate,Silver,White,Bottle Fermented Sparkling - Chenin Blanc - WO Overberg - 2013,South Africa
Wildekrans Wine Estate,Wildekrans Cape Blend Barrel Select Reserve 2014,Wildekrans Wine Estate,Silver,Red,Pinotage/Pinotage dominated blends - Walker Bay - 2014,South Africa
Wildekrans Wine Estate,Wildekrans Shiraz Barrel Select Reserve 2015,Wildekrans Wine Estate,Silver,Red,Shiraz - WO Overberg & Wards - 2015,South Africa
Wildekrans Wine Estate,Wildekrans Pinotage Barrel Select Reserve 2014,Wildekrans Wine Estate,Silver,Red,Pinotage - WO Walker Bay - 2015,South Africa
Zevenwacht Wine Estate,Zevenwacht Chardonnay 2016,Zevenwacht Wine Estate,Silver,White,Chardonnay - Stellenbosch - 2016-2015,South Africa
Zevenwacht Wine Estate,Zevenwacht Cabernet Sauvignon,Zevenwacht Wine Estate,Silver,Red,Cabernet Sauvignon - W O Stellenbosch - 2016-2014,South Africa
Zevenwacht Wine Estate,Zevenwacht Chenin Blanc 2016,Zevenwacht Wine Estate,Silver,White,Chenin Blanc - WO Stellenbosch - 2017-2015,South Africa
Zevenwacht Wine Estate,Zevenwacht 7even Sauvignon Blanc 2017,Zevenwacht Wine Estate,Silver,White,Sauvignon Blanc - WO Stellenbosch - 2017-2016,South Africa
Zevenwacht Wine Estate,Zevenwacht 7even Pinotage 2015,Zevenwacht Wine Estate,Silver,Red,Pinotage - WO Stellenbosch - 2016-2014,South Africa
Saronsberg Cellar,Saronsberg Viognier 2016,Saronsberg Cellar,Silver,White,Viognier - W O Tulbagh - 2016,South Africa
Saronsberg Cellar,Saronsberg Provenance Shiraz 2015,Saronsberg Cellar,Silver,Red,Shiraz - W O Western Cape - 2017-2014,South Africa
Saronsberg Cellar,Saronsberg Seismic Rooi 2014,Saronsberg Cellar,Silver,Red,Blended Red - Cabernet Sauvignon Dominated - W O Tulbagh - 2014,South Africa
Boland Cellar,Five Climates Chenin Blanc 2017,Boland Cellar,Silver,White,Chenin Blanc - WO Coastal Regions - 2017-2015,South Africa
Boland Cellar,Reserve No1 Chenin Blanc 2015 ,Boland Cellar,Silver,White,Chenin Blanc - WO Coastal Regions - 2017-2015,South Africa
Boland Cellar,One Formation Pinotage/Shiraz/Grenache 2015,Boland Cellar,Silver,Red,Blended Red - Pinotage Dominated - Western Cape - 2015,South Africa
Boland Cellar,Reserve No1 Shiraz 2014,Boland Cellar,Silver,Red,Shiraz - W O Western Cape - 2017-2014,South Africa
Packwood Country Estate,Packwood MCC Pinot Noir Chardonnay NV,Packwood Country Estate,Silver,Rosé,Bottle Fermented Sparkling Wine - Rosé - W O Cape South Coast - NV-2013,South Africa
D'Aria Winery,D'Aria The Songbird Sauvignon Blanc 2016,D'Aria Winery,Silver,White,Sauvignon Blanc - WO Durbanville & Tygerberg - 2017-2015,South Africa
D'Aria Winery,D'Aria The Soprano Shiraz 2015,D'Aria Winery,Silver,Red,Shiraz - W O Durbanville - 2015,South Africa
Rosendal Wines Pty Ltd,Rosendal Reserve Red Rock 2014,Rosendal Wines Pty Ltd,Silver,Red,Blended Red - Cabernet Sauvignon Dominated - W O Stellenbosch - 2015-2009,South Africa
Rosendal Wines Pty Ltd,Rosendal Reserve Vexator 2015,Rosendal Wines Pty Ltd,Silver,Red,Blended Red - Cabernet Sauvignon Dominated - W O Stellenbosch - 2015-2009,South Africa
Seven Spring Vineyards,Seven Spring Vineyards Sauvignon blanc 2015,Seven Spring Vineyards,Silver,White,Sauvignon Blanc - WO Overberg - 2016,South Africa
La Vierge Wines (Pty) Ltd,La Vierge Noir 2014,La Vierge Wines (Pty) Ltd,Silver,Red,Pinot Noir - WO Hemel-en-Aarde Valley - 2014-2013,South Africa
Nico Van Der Merwe Wines (Pty) Ltd,Nicolas van der Merwe Syrah 2015,Nico Van Der Merwe Wines (Pty) Ltd,Silver,Red,Shiraz - W O Stellenbosch - 2016-2012,South Africa
Painted Wolf Wines,Painted Wolf Guillermo Pinotage 2014,Painted Wolf Wines,Silver,Red,Pinotage - WO Swartland - Wards - 2015 - 2014,South Africa
Painted Wolf Wines,Painted Wolf The Den Cabernet Sauvignon 2015,Painted Wolf Wines,Silver,Red,Cabernet Sauvignon - WO Coastal Region - 2015,South Africa
Painted Wolf Wines,Painted Wolf Pictus V 2016,Painted Wolf Wines,Silver,White,Blended White - Grenache Blanc Dominated - WO Coastal Region - 2016,South Africa
Appelsdrift Farm (Pty) Ltd,Bonfire Hill Extreme Vineyards White Blend 2016,Appelsdrift Farm (Pty) Ltd,Silver,White,Blended White - Chenin Blanc Dominated - Western Cape - 2017-2016,South Africa
Appelsdrift Farm (Pty) Ltd,Bonfire Hill Extreme Vineyards Red Blend 2015,Appelsdrift Farm (Pty) Ltd,Silver,Red,Blended Red - Shiraz dominated - WO Stellenbosch - 2016-2015,South Africa
Appelsdrift Farm (Pty) Ltd,The Drift Farm Moveable Feast Red Blend 2013,Appelsdrift Farm (Pty) Ltd,Silver,Red,Syrah dominated blends - WO Cape South Coast & Regions - 2014-2013,South Africa
uniWines Vineyards,Daschbosch Steen 2016,uniWines Vineyards,Silver,White,Chenin Blanc - WO Breedekloof - 2016- 2015,South Africa
Seckford Agencies,Paul Cluver Gewurztraminer 2016,Seckford Agencies,Silver,White,Gewürztraminer - WO Elgin - 2016,South Africa
Seckford Agencies,Paul Cluver Estate Pinot Noir 2015,Seckford Agencies,Silver,Red,Pinot Noir - WO Elgin & Overberg - 2016-2014,South Africa
Seckford Agencies,Ernie Els Cabernet Sauvignon 2015,Seckford Agencies,Silver,Red,Cabernet Sauvignon - W O Stellenbosch - 2016-2014,South Africa
Seckford Agencies,Ernie Els Proprietors Blend 2014,Seckford Agencies,Silver,Red,Blended Red - Cabernet Sauvignon Dominated - W O Stellenbosch - 2015-2009,South Africa
Seckford Agencies,Paul Cluver Sauvignon Blanc 2016,Seckford Agencies,Silver,White,Sauvignon Blanc - WO Elgin - 2016,South Africa
Seckford Agencies,Darling Cellars Chocoholic Pinotage 2015,Seckford Agencies,Silver,Red,Pinotage - Darling - 2015,South Africa
Seckford Agencies,Rustenberg Petit Verdot Rosé 2017,Seckford Agencies,Silver,Rosé,Rosé - Petit Verdot - WO Simonsberg - Stellenbosch - 2017,South Africa
Seckford Agencies,Co op Irresistible Chenin Blanc 2017,Seckford Agencies,Silver,White,Chenin Blanc - W O Darling - 2017,South Africa
Paul Wallace Wines,Paul Wallace Black Dog Malbec 2015,Paul Wallace Wines,Silver,Red,Malbec - WO Elgin - 2015,South Africa
Babylonstoren (Pty) Ltd,Babylonstoren Chardonnay  2016,Babylonstoren (Pty) Ltd,Silver,White,Chardonnay - Simonsberg-Paarl - 2016-2015,South Africa
Baleia Wines,Inge Chardonnay 2014,Baleia Wines,Silver,White,Chardonnay - WO Cape South Coast - 2014,South Africa
Benguela Cove Lagoon Wine Estate,Benguela Cove Semillon Sauvignon Blanc 2015,Benguela Cove,Silver,White,Sauvignon/Semillon - WO Western Cape - 2017 - 2014,South Africa
Benguela Cove Lagoon Wine Estate,Benguela Cove Shiraz 2014,Benguela Cove,Silver,Red,Shiraz - Walker Bay - 2014,South Africa
Benguela Cove Lagoon Wine Estate,Benguela Cove Cabernet Sauvignon 2014,Benguela Cove,Silver,Red,Cabernet Sauvignon/Cabernet Sauvignon Dominated Blends  - WO Walker Bay & Wards - 2012,South Africa
Lothian Vineyards,Lothian Vineyards Pinot Noir - Vineyard Selection 2016,Lothian Vineyards,Silver,Red,Pinot Noir - WO Elgin & Overberg - 2016-2014,South Africa
Hermanuspietersfontein,Hermanuspietersfontein Kat Met Die Houtbeen 2014,Hermanuspietersfontein,Silver,White,Sauvignon Blanc/Sauvignon Blanc Dominated Blends - WO Walker Bay & Wards 2016 - 2014,South Africa
Laarman Wines (PTY) Ltd,Cluster Series Chardonnay 2016,Laarman Wines (PTY) Ltd,Silver,White,Chardonnay - WO Western Cape - 2017-2015,South Africa
Tulbagh Winery International Ltd,Klein Tulbagh Shiraz 2013,Tulbagh Winery,Silver,Red,Shiraz Dominated Blend - Tulbagh - 2015-2013,South Africa
MAN Family Wines,Three Pines Cabernet Sauvignon 2015,Stark-Conde,Silver,Red,Cabernet Sauvignon - Jonershoek Valley - 2015,South Africa
MAN Family Wines,Stellenbosch Cabernet Sauvignon 2015,Stark-Conde,Silver,Red,Blended Red - Cabernet Sauvignon Dominated - WO Stellenbosch - 2015,South Africa
Cape Diamond Wines (PTY) Ltd,Vintales Road Trip Pinotage 2015,Cape Diamond Wines (PTY) Ltd,Silver,Red,Pinotage - WO Coastal Region - 2017 - 2014,South Africa
Cape Diamond Wines (PTY) Ltd,Lutzville Francois Le Vaillant Pinotage 2014,Cape Diamond Wines (PTY) Ltd,Silver,Red,Pinotage - Lutzville Valley - 2014,South Africa
Cape Diamond Wines (PTY) Ltd,Lutzville Sauvignon Blanc 2017,Cape Diamond Wines (PTY) Ltd,Silver,White,Sauvignon Blanc - WO Western Cape - 2017-2016,South Africa
Asara Wine Estate & Hotel,Vineyard Collection Sauvignon Blanc 2017,Asara Wine Estate & Hotel,Silver,White,Sauvignon Blanc - WO Stellenbosch - 2017-2016,South Africa
Asara Wine Estate & Hotel,Vineyard Collection Rosé 2017,Asara Wine Estate & Hotel,Silver,Rosé,Rosé - Pinotage - WO Stellenbosch - 2017 ,South Africa
Asara Wine Estate & Hotel,Vineyard Collection Cape Fusion 2015,Asara Wine Estate & Hotel,Silver,Red,Blended Red - Pinotage Dominated - WO Stellenbosch - 2015-2014,South Africa
Asara Wine Estate & Hotel,Vineyard Collection Cabernet Sauvignon 2012,Asara Wine Estate & Hotel,Silver,Red,Cabernet Sauvignon - Stellenbosch - 2013-2012,South Africa
Asara Wine Estate & Hotel,Vineyard Collection Merlot 2014,Asara Wine Estate & Hotel,Silver,Red,Merlot - WO Stellenbosch - 2015-2014,South Africa
Asara Wine Estate & Hotel,Speciality Collection Bell Tower 2012 ,Asara Wine Estate & Hotel,Silver,Red,Blended Red - Cabernet Sauvignon Dominated - Stellenbosch - 2015 - 2009,South Africa
ABS Wine Agencies,Jordan Wine Estate Prospector Syrah 2015,Jordan Wine Estate,Silver Outstanding,Red,Shiraz - W O Stellenbosch - 2016-2012,South Africa
ABS Wine Agencies,Jordan Cobblers Hill 2014,Jordan Wine Estate,Silver Outstanding,Red,Blended Red - Cabernet Sauvignon Dominated - Stellenbosch - 2016-2013,South Africa
ABS Wine Agencies,Tokara Reserve Collection Syrah  2013,Tokara Winery,Silver Outstanding,Red,Shiraz - W O Constantia - 2015-2013,South Africa
ABS Wine Agencies,Tokara Reserve Collection Stellenbosch Chardonnay 2015,Tokara Winery,Silver Outstanding,White,Chardonnay - Simonsberg-Paarl - 2016-2015,South Africa
Accolade Wines,Flagstone Writer's Block Pinotage 2015,Accolade Wines,Silver Outstanding,Red,Pinotage - WO Western Cape - 2017 - 2015,South Africa
Accolade Wines,Flagstone Music Room Cabernet Sauvignon 2014,Accolade Wines,Silver Outstanding,Red,Cabernet Sauvignon - WO Western Cape - 2016-2013,South Africa
Backsberg Estate Cellars,Backsberg Pumphouse Shiraz 2015,Backsberg Estate Cellars,Silver Outstanding,Red,Shiraz - WO Paarl - 2015-2013,South Africa
Beau Constantia Wines,Beau Constantia Stella 2015,Beau Constantia Wines,Silver Outstanding,Red,Shiraz - W O Constantia - 2015-2012,South Africa
Bergsig Estate,Bergsig Chenin Blanc Reserve 2015,Bergsig Estate,Silver Outstanding,White,Chenin Blanc - WO Breedekloof - 2016- 2015,South Africa
Bouchard Finlayson,Galpin Peak Pinot Noir 2015,Bouchard Finlayson,Silver Outstanding,Red,Pinot Noir - WO Hemel-en-Aarde Valley - 2014-2013,South Africa
Cape Point Vineyards,Cape Point Vineyards Isliedh,Cape Point Vineyards,Silver Outstanding,White,Sauvignon Blanc - Cape Point - 2016 - 2015,South Africa
Cape Point Vineyards,Cape Point Vineyards Sauvignon Blanc Reserve 2015,Cape Point Vineyards,Silver Outstanding,White,Sauvignon Blanc - Cape Point - 2016 - 2015,South Africa
Cederberg Private Cellars,Cederberg Cabernet Sauvignon 2015,Cederberg Private Cellars,Silver Outstanding,Red,Cabernet Sauvignon - WO Cederberg - 2015,South Africa
Cederberg Private Cellars,Cederberg Sauvignon Blanc 2017,Cederberg Private Cellars,Silver Outstanding,White,Sauvignon Blanc - WO Cederberg - 2017,South Africa
Cederberg Private Cellars,Ghost Corner Wild Ferment 2016,Cederberg Private Cellars,Silver Outstanding,White,Sauvignon Blanc - WO Elim - 2016,South Africa
